,Year,Country Name,Country Code,Life Expectancy at birth (total years),"Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Weighted World Death
0,2016,Afghanistan,AFG,0.7547289592276852,0.5719063545150501,0.8694690265486724,0.5180353031465847,-5.069632042034772
1,2017,Afghanistan,AFG,0.7590729444234345,0.5518394648829431,0.8451327433628318,0.4973138910207213,-4.869259779513833
2,2018,Afghanistan,AFG,0.7632867284280306,0.5340022296544036,0.8230088495575222,0.47812739831158857,-4.686253872799697
3,2019,Afghanistan,AFG,0.7673939841853193,0.5172798216276476,0.7986725663716814,0.46124328472755177,-4.508156497095227
4,2020,Afghanistan,AFG,0.7716156591711975,0.5016722408026756,0.7787610619469026,0.44512663085188026,-4.348518531682383
5,2016,Africa Eastern and Southern,AFE,0.7431846290096982,0.5298466411780367,0.58019702940446,0.510482945149627,-4.099031522158264
6,2017,Africa Eastern and Southern,AFE,0.7486126225569444,0.5140260881005819,0.5683913329567412,0.49304676686432375,-3.9568006199717383
7,2018,Africa Eastern and Southern,AFE,0.753379459861617,0.49938930586361985,0.5560100963576992,0.47638477606187796,-3.818968545186231
8,2019,Africa Eastern and Southern,AFE,0.7575957228193152,0.4859671311495786,0.5442021107029181,0.4608914073741819,-3.6905105010853236
9,2020,Africa Eastern and Southern,AFE,0.7648966031986831,0.4732129074401583,0.5326854154970089,0.44634420247250955,-3.564962268062698
10,2016,Africa Western and Central,AFW,0.6743801606836418,0.7433091476637257,0.7337990306205996,0.8030521411469072,-6.2258437910932365
11,2017,Africa Western and Central,AFW,0.6792047250063158,0.7281364740227145,0.7240220571975022,0.7830551529871297,-6.0813550065801385
12,2018,Africa Western and Central,AFW,0.683702395949568,0.7121045546844627,0.712826143414907,0.7620194914532348,-5.927063109477016
13,2019,Africa Western and Central,AFW,0.6878851202985188,0.6951207669294404,0.7021882302648672,0.7405547907708648,-5.7711402674384225
14,2020,Africa Western and Central,AFW,0.6922253179446203,0.6775656955597926,0.6914171028294425,0.7185496792632571,-5.611356098716321
15,2016,Albania,ALB,0.9255410855488234,0.09364548494983278,0.13938053097345132,0.07214121258633921,0.03154367238344702
16,2017,Albania,ALB,0.9271863551461235,0.09364548494983278,0.14823008849557523,0.07214121258633921,0.006640269414375344
17,2018,Albania,ALB,0.9286659141365012,0.0947603121516165,0.1570796460176991,0.07290867229470452,-0.023728337398647215
18,2019,Albania,ALB,0.9300271084076488,0.09587513935340021,0.165929203539823,0.07444359171143514,-0.05728514776436111
19,2020,Albania,ALB,0.9317907427241792,0.09810479375696768,0.17256637168141592,0.07521105141980046,-0.08296216551320579
20,2016,Algeria,DZA,0.9030991347827727,0.23745819397993312,0.33407079646017696,0.19033000767459707,-1.3353496732560126
21,2017,Algeria,DZA,0.9054782656393001,0.23299888517279818,0.34513274336283184,0.18649270913277052,-1.341888571325874
22,2018,Algeria,DZA,0.9077745411923666,0.22742474916387959,0.35398230088495575,0.18265541059094398,-1.3396435021540356
23,2019,Algeria,DZA,0.9099879614419717,0.2229654403567447,0.3606194690265487,0.1788181120491174,-1.3330737745476335
24,2020,Algeria,DZA,0.9124499476019604,0.21739130434782608,0.3606194690265487,0.17421335379892552,-1.30104448336904
25,2016,Angola,AGO,0.7093005799871248,0.6187290969899666,0.663716814159292,0.6454336147352263,-5.1010425154115895
26,2017,Angola,AGO,0.714674338240177,0.5964325529542921,0.6460176991150441,0.6185725249424404,-4.890533964783302
27,2018,Angola,AGO,0.7194444364251551,0.5763656633221851,0.6327433628318584,0.5932463545663852,-4.704502396980332
28,2019,Angola,AGO,0.7237647486770583,0.556298773690078,0.6172566371681415,0.5694551036070606,-4.518423124635764
29,2020,Angola,AGO,0.7289846327951113,0.5384615384615384,0.6039823008849557,0.5487336914811972,-4.354820112707621
30,2016,Antigua and Barbuda,ATG,0.9068749693262169,0.06911928651059086,0.0907079646017699,0.056792018419032995,0.26934442882359355
31,2017,Antigua and Barbuda,ATG,0.9084728930358248,0.06688963210702341,0.08628318584070796,0.05448963929393706,0.29788551412390585
32,2018,Antigua and Barbuda,ATG,0.9100471438015869,0.06465997770345595,0.08407079646017698,0.052954719877206444,0.3166959195053183
33,2019,Antigua and Barbuda,ATG,0.9115977216235028,0.06243032329988851,0.07964601769911504,0.05065234075211051,0.3451896589179386
34,2020,Antigua and Barbuda,ATG,0.9131601359173419,0.06020066889632107,0.07743362831858407,0.04911742133537989,0.363988227827428
35,2016,Arab World,ARB,0.8455566849134656,0.3130854619340178,0.3834622548543827,0.2891919829441381,-2.08776893529427
36,2017,Arab World,ARB,0.8477597275432568,0.3042666841620089,0.3786783861967434,0.2780611985284336,-2.009053593484726
37,2018,Arab World,ARB,0.849942428384793,0.29905794623274917,0.3733929219344933,0.27333190199345503,-1.9616798378580054
38,2019,Arab World,ARB,0.852104173669381,0.2935652886639398,0.36853190281182746,0.26773414751919183,-1.9115587021707485
39,2020,Arab World,ARB,0.8542763967324432,0.2874024387189677,0.36297069162847784,0.26159937827612895,-1.8558380686954419
40,2016,Argentina,ARG,0.9021877264446999,0.10813823857302117,0.1415929203539823,0.08365310821181887,-0.07347994461056484
41,2017,Argentina,ARG,0.9039750337050763,0.10256410256410255,0.13938053097345132,0.07904834996162702,-0.0354881641899909
42,2018,Argentina,ARG,0.9057268315496836,0.09587513935340021,0.1327433628318584,0.07444359171143514,0.017972097501567474
43,2019,Argentina,ARG,0.907466792922368,0.0903010033444816,0.11725663716814158,0.06983883346124328,0.09573954088400694
44,2020,Argentina,ARG,0.9092304272388981,0.08472686733556298,0.10176991150442477,0.06600153491941672,0.1704608183768309
45,2016,Armenia,ARM,0.8834742643344012,0.13377926421404682,0.15486725663716813,0.10283960092095164,-0.2600444376890033
