,Year,Country Name,Country Code,"Compulsory education, duration (years)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
0,2016,Afghanistan,AFG,0.5294117647058824,0.25990293915944007,0.2789240283637595,1.8859897281160412
1,2017,Afghanistan,AFG,0.5294117647058824,0.24964071341122282,0.2563859745972019,1.7978511153199337
2,2018,Afghanistan,AFG,0.5294117647058824,0.23679941585360947,0.24920268279288046,1.7506186447917425
3,2019,Afghanistan,AFG,0.5294117647058824,0.23783473572083266,0.24169659527122725,1.7301710219612296
4,2020,Afghanistan,AFG,0.5294117647058824,0.2304786679079635,0.21847438364224292,1.6457922514485381
5,2016,Africa Eastern and Southern,AFE,0.4117647058823529,0.3612230981453872,0.3664473053771041,2.2335528183044397
6,2017,Africa Eastern and Southern,AFE,0.4117647058823529,0.3717350936205959,0.3573790133773085,2.22737193325547
7,2018,Africa Eastern and Southern,AFE,0.4117647058823529,0.3664441252981588,0.36247618248772073,2.2320815039418327
8,2019,Africa Eastern and Southern,AFE,0.4117647058823529,0.349250242659159,0.3264652377500392,2.0896609044507883
9,2020,Africa Eastern and Southern,AFE,0.4117647058823529,0.34525929083041623,0.3131378818743509,2.041696933166238
10,2016,Africa Western and Central,AFW,0.5294117647058824,0.20976995036576476,0.2737325868921132,1.7701494261137514
11,2017,Africa Western and Central,AFW,0.5294117647058824,0.2539248306043932,0.3453918239335701,2.073436897715379
12,2018,Africa Western and Central,AFW,0.5294117647058824,0.22692312809093568,0.34814836850193437,2.0277031263935568
13,2019,Africa Western and Central,AFW,0.5294117647058824,0.2244450775143655,0.3016877505954227,1.8833651715208815
14,2020,Africa Western and Central,AFW,0.5294117647058824,0.22933678656389905,0.3065993213121502,1.907883301770131
15,2016,Albania,ALB,0.5294117647058824,0.29321317990880275,0.2897042999413093,1.9849510243474158
16,2017,Albania,ALB,0.5294117647058824,0.26728416744353556,0.2640052011440373,1.8559957030250653
17,2018,Albania,ALB,0.5294117647058824,0.29240751550686045,0.287410430589087,1.976458087486864
18,2019,Albania,ALB,0.5294117647058824,0.2920046833058893,0.2862634959129759,1.9722116190565884
19,2020,Albania,ALB,0.5294117647058824,0.29160185110491815,0.28511656123686474,1.9679651506263127
20,2016,Algeria,DZA,0.5882352941176471,0.5435169581928948,0.34327067040643144,2.705081221722731
21,2017,Algeria,DZA,0.5882352941176471,0.4814285374510968,0.374058830830092,2.673268861510117
22,2018,Algeria,DZA,0.5882352941176471,0.43413733213325306,0.29349665179197365,2.3369999137600743
23,2019,Algeria,DZA,0.5882352941176471,0.45145514685493016,0.308166849501607,2.4156461363323283
24,2020,Algeria,DZA,0.5882352941176471,0.4207678764089419,0.3526061436278793,2.487589477819169
25,2016,Andorra,AND,0.5882352941176471,0.23955831622033077,0.21287331103226648,1.705971859655108
26,2017,Andorra,AND,0.5882352941176471,0.23807968861146753,0.20012048249567826,1.6647561188276168
27,2018,Andorra,AND,0.5882352941176471,0.24027246073149136,0.2868270574904747,1.929261388052054
28,2019,Andorra,AND,0.5882352941176471,0.23315986370576228,0.2321399645156361,1.75097491507608
29,2020,Andorra,AND,0.5882352941176471,0.23102704620090608,0.19158571983932685,1.62504654603744
30,2016,Angola,AGO,0.35294117647058826,0.2038784390006073,0.13957856688454906,1.1794337551254501
31,2017,Angola,AGO,0.35294117647058826,0.18256065632059637,0.1441128144819906,1.1504009325577529
32,2018,Angola,AGO,0.35294117647058826,0.15131735004694405,0.1152733355944885,1.001395883347942
33,2019,Angola,AGO,0.35294117647058826,0.1347758311407022,0.12880576272649477,1.008910126931477
34,2020,Angola,AGO,0.35294117647058826,0.11174162852073384,0.13779435145288993,0.9898074878707257
35,2016,Antigua and Barbuda,ATG,0.6470588235294118,0.17989055865491635,0.1440887358640228,1.4391061484313128
36,2017,Antigua and Barbuda,ATG,0.6470588235294118,0.1811989560909897,0.15749374951588802,1.4819379842590554
37,2018,Antigua and Barbuda,ATG,0.6470588235294118,0.19567427275122362,0.15405955948767888,1.5005860474948958
38,2019,Antigua and Barbuda,ATG,0.6470588235294118,0.20885229010750284,0.18211751958617814,1.6111159625029519
39,2020,Antigua and Barbuda,ATG,0.6470588235294118,0.24581540429207255,0.19051847827686053,1.7102450669441382
40,2016,Argentina,ARG,0.8235294117647058,0.41039216387886507,0.2845604772386145,2.497995171238279
41,2017,Argentina,ARG,0.8235294117647058,0.4036451700258542,0.2826083617054649,2.478644836932809
42,2018,Argentina,ARG,0.8235294117647058,0.3659915896978562,0.2668291658427106,2.3560000886885497
43,2019,Argentina,ARG,0.8235294117647058,0.355397831513204,0.26697256061654967,2.3352427566407625
44,2020,Argentina,ARG,0.8235294117647058,0.33706638739131695,0.261109921742528,2.280991951774924
45,2016,Armenia,ARM,0.7058823529411765,0.20411377586261759,0.2172671406639143,1.7659113266581548
46,2017,Armenia,ARM,0.7058823529411765,0.20037432288160967,0.22165479316487494,1.7715953781990206
47,2018,Armenia,ARM,0.7058823529411765,0.16694493159774773,0.19151561753385102,1.614319068738225
48,2019,Armenia,ARM,0.7058823529411765,0.18958887931167723,0.1930622166292103,1.6642467614521619
49,2020,Armenia,ARM,0.7058823529411765,0.2001648875425743,0.18499390861764234,1.6611938538792521
50,2016,Aruba,ABW,0.7647058823529411,0.4063855793870741,0.45524746032554964,2.943219422103738
51,2017,Aruba,ABW,0.7647058823529411,0.4063855793870741,0.45524746032554964,2.943219422103738
52,2018,Aruba,ABW,0.7647058823529411,0.4063855793870741,0.45524746032554964,2.943219422103738
53,2019,Aruba,ABW,0.7647058823529411,0.4063855793870741,0.45524746032554964,2.943219422103738
54,2020,Aruba,ABW,0.7647058823529411,0.4063855793870741,0.45524746032554964,2.943219422103738
55,2016,Australia,AUS,0.5882352941176471,0.39050639312399915,0.2941230616102959,2.251617265196533
56,2017,Australia,AUS,0.5882352941176471,0.37948857689904536,0.28983127655200985,2.216706277571767
57,2018,Australia,AUS,0.5882352941176471,0.3780077437790295,0.2872220890617093,2.205917048860834
58,2019,Australia,AUS,0.5882352941176471,0.3717584191065447,0.28377160278741603,2.1830669406929846
59,2020,Australia,AUS,0.5882352941176471,0.36550909443405993,0.28032111651312275,2.160216832525135
60,2016,Austria,AUT,0.5882352941176471,0.4055174901974733,0.23338874057002196,2.0994364962226597
61,2017,Austria,AUT,0.7647058823529411,0.3975449731954524,0.23288719413348172,2.258457411144291
62,2018,Austria,AUT,0.7647058823529411,0.3867010571138459,0.2285702738427705,2.2238188181089447
63,2019,Austria,AUT,0.7647058823529411,0.3772928405720322,0.22616104047914481,2.19777468493444
64,2020,Austria,AUT,0.7647058823529411,0.3678846240302185,0.22375180711551906,2.1717305517599352
65,2016,Azerbaijan,AZE,0.5882352941176471,0.21486590739210382,0.17486071179889714,1.542549244298546
66,2017,Azerbaijan,AZE,0.5882352941176471,0.1830742404695977,0.14808903756809003,1.3986508877611126
67,2018,Azerbaijan,AZE,0.5882352941176471,0.18171329893582813,0.15789261131453686,1.425339725932914
68,2019,Azerbaijan,AZE,0.5882352941176471,0.19841245895720158,0.17198966679825609,1.5010292124268183
69,2020,Azerbaijan,AZE,0.5882352941176471,0.19292797614556753,0.22377267525109015,1.6454092721620528
70,2016,"Bahamas, The",BHS,0.7058823529411765,0.1720734507907413,0.25325134492797063,1.809783289306571
71,2017,"Bahamas, The",BHS,0.7058823529411765,0.17898030009208102,0.2253427433791523,1.7398711832627956
72,2018,"Bahamas, The",BHS,0.7058823529411765,0.17091527513028212,0.2433139672158541,1.7776548048493033
73,2019,"Bahamas, The",BHS,0.7058823529411765,0.17753203796076353,0.24004108360852183,1.7810696796882692
74,2020,"Bahamas, The",BHS,0.7058823529411765,0.18581685534197015,0.23957745337546474,1.796248423751511
75,2016,Bahrain,BHR,0.5294117647058824,0.1720253530035282,0.15391531129446923,1.3352084045963464
76,2017,Bahrain,BHR,0.5294117647058824,0.1720253530035282,0.15391531129446923,1.3352084045963464
77,2018,Bahrain,BHR,0.5294117647058824,0.1720253530035282,0.15391531129446923,1.3352084045963464
78,2019,Bahrain,BHR,0.5294117647058824,0.1720253530035282,0.15391531129446923,1.3352084045963464
79,2020,Bahrain,BHR,0.5294117647058824,0.1720253530035282,0.15391531129446923,1.3352084045963464
80,2016,Bangladesh,BGD,0.29411764705882354,0.11363713596626866,0.24330545334165438,1.2513082790163241
81,2017,Bangladesh,BGD,0.29411764705882354,0.10847605166593931,0.3420762083991587,1.5372983755881784
82,2018,Bangladesh,BGD,0.29411764705882354,0.10331496736560998,0.24889203814183092,1.2474236962155363
83,2019,Bangladesh,BGD,0.29411764705882354,0.09815388306528064,0.19759161802379488,1.0832002672607695
84,2020,Bangladesh,BGD,0.29411764705882354,0.0929927987649513,0.25237075837364964,1.237215519709675
85,2016,Barbados,BRB,0.6470588235294118,0.3483636977522345,0.2847076920801146,2.1979092952742247
86,2017,Barbados,BRB,0.6470588235294118,0.3231325443037784,0.2744102526714674,2.1165546701513707
87,2018,Barbados,BRB,0.6470588235294118,0.40176102831445804,0.3485446802022248,2.496214920765002
88,2019,Barbados,BRB,0.6470588235294118,0.23711023412930038,0.22965242992471957,1.810236581562171
89,2020,Barbados,BRB,0.6470588235294118,0.3178619019721218,0.34394032013955134,2.3146035878923095
90,2016,Belarus,BLR,0.5294117647058824,0.3660678121632846,0.2590616475204063,2.0387323315936703
91,2017,Belarus,BLR,0.5294117647058824,0.3548516763755028,0.2616804258188796,2.024156394913527
92,2018,Belarus,BLR,0.5294117647058824,0.39822730541374946,0.2826109219635765,2.1736991414241107
93,2019,Belarus,BLR,0.5294117647058824,0.36850477847810703,0.28193145790769053,2.112215695385168
94,2020,Belarus,BLR,0.5294117647058824,0.36650443279511047,0.27478226223919333,2.086767417013683
95,2016,Belgium,BEL,0.7058823529411765,0.47819822230860715,0.2591931147425607,2.4398581417860727
96,2017,Belgium,BEL,0.7058823529411765,0.4755052049710312,0.2631510096316909,2.446345791778312
97,2018,Belgium,BEL,0.7058823529411765,0.4719011527306942,0.2604478444130346,2.4310281916416687
98,2019,Belgium,BEL,0.7058823529411765,0.4687526179417377,0.2610752092482716,2.426613216569467
99,2020,Belgium,BEL,0.7058823529411765,0.46560408315278123,0.26170257408350855,2.4221982414972647
100,2016,Belize,BLZ,0.47058823529411764,0.5397642015686155,0.4368272972606782,2.8605985302133834
101,2017,Belize,BLZ,0.47058823529411764,0.5513555565577395,0.4614681153988811,2.95770369460624
102,2018,Belize,BLZ,0.47058823529411764,0.5529829061946351,0.47116771421862674,2.990057190339268
103,2019,Belize,BLZ,0.47058823529411764,0.5282742295161471,0.4707558377745691,2.939404207650119
104,2020,Belize,BLZ,0.47058823529411764,0.5876681508168751,0.4585378390299891,3.021538054017835
105,2016,Benin,BEN,0.35294117647058826,0.21454695519128242,0.40037990979276,1.983174816231433
106,2017,Benin,BEN,0.35294117647058826,0.2616501803825819,0.42356674515686643,2.1469417727063513
107,2018,Benin,BEN,0.35294117647058826,0.2171274914600841,0.37732153436350124,1.91916076248126
108,2019,Benin,BEN,0.35294117647058826,0.21943865541877156,0.36579234664887184,1.889195527254747
109,2020,Benin,BEN,0.35294117647058826,0.22106922216126795,0.35426315893424243,1.8578690975958514
110,2016,Bermuda,BMU,0.7647058823529411,0.09805323235832822,0.16562582014617572,1.4576898075081246
111,2017,Bermuda,BMU,0.7647058823529411,0.09805323235832822,0.16562582014617572,1.4576898075081246
112,2018,Bermuda,BMU,0.7647058823529411,0.09805323235832822,0.16562582014617572,1.4576898075081246
113,2019,Bermuda,BMU,0.7647058823529411,0.09805323235832822,0.16562582014617572,1.4576898075081246
114,2020,Bermuda,BMU,0.7647058823529411,0.09805323235832822,0.16562582014617572,1.4576898075081246
115,2016,Brazil,BRA,0.8235294117647058,0.46726848537703763,0.3393884047291806,2.7762315967063227
116,2017,Brazil,BRA,0.8235294117647058,0.4677450522268568,0.35166266819372005,2.8140075207995796
117,2018,Brazil,BRA,0.8235294117647058,0.45057820033254176,0.3440658134261091,2.756883252708117
118,2019,Brazil,BRA,0.8235294117647058,0.4422330578102939,0.3464045177745733,2.7472090807090135
119,2020,Brazil,BRA,0.8235294117647058,0.43388791528804593,0.3487432221230376,2.7375349087099106
120,2016,British Virgin Islands,VGB,0.7058823529411765,0.2810268309430181,0.30658804398474765,2.187700146781456
121,2017,British Virgin Islands,VGB,0.7058823529411765,0.1972542832967432,0.31979745188482517,2.0597832751891385
122,2018,British Virgin Islands,VGB,0.7058823529411765,0.19937820818063273,0.29821478078460517,1.9992831116562577
123,2019,British Virgin Islands,VGB,0.7058823529411765,0.21600410994356598,0.25984317646916316,1.917420102235798
124,2020,British Virgin Islands,VGB,0.7058823529411765,0.19432986961041523,0.2804235877961676,1.9358128555505099
125,2016,Brunei Darussalam,BRN,0.5294117647058824,0.3275010090654623,0.2437884683861376,1.91577918799522
126,2017,Brunei Darussalam,BRN,0.5294117647058824,0.3275010090654623,0.2437884683861376,1.91577918799522
127,2018,Brunei Darussalam,BRN,0.5294117647058824,0.3275010090654623,0.2437884683861376,1.91577918799522
128,2019,Brunei Darussalam,BRN,0.5294117647058824,0.3275010090654623,0.2437884683861376,1.91577918799522
129,2020,Brunei Darussalam,BRN,0.5294117647058824,0.3275010090654623,0.2437884683861376,1.91577918799522
130,2016,Bulgaria,BGR,0.6470588235294118,0.30275460932422366,0.271252621318238,2.066325906132573
131,2017,Bulgaria,BGR,0.6470588235294118,0.30275460932422366,0.271252621318238,2.066325906132573
132,2018,Bulgaria,BGR,0.6470588235294118,0.30275460932422366,0.271252621318238,2.066325906132573
133,2019,Bulgaria,BGR,0.6470588235294118,0.30275460932422366,0.271252621318238,2.066325906132573
134,2020,Bulgaria,BGR,0.6470588235294118,0.30275460932422366,0.271252621318238,2.066325906132573
135,2016,Burkina Faso,BFA,0.5882352941176471,0.410723343433515,0.4309639810696958,2.7025739241937647
136,2017,Burkina Faso,BFA,0.5882352941176471,0.4165330832671851,0.45689764827694274,2.791994405482846
137,2018,Burkina Faso,BFA,0.5882352941176471,0.4018868306705929,0.48283131548418967,2.840502901911402
138,2019,Burkina Faso,BFA,0.5882352941176471,0.4281525629345252,0.5087649826914367,2.9708353680610076
139,2020,Burkina Faso,BFA,0.5882352941176471,0.4339623027681952,0.5346986498986835,3.060255849350088
140,2016,Cabo Verde,CPV,0.5882352941176471,0.391395196474344,0.3801729710381179,2.511544600180689
141,2017,Cabo Verde,CPV,0.5882352941176471,0.383473706178346,0.3496954552655048,2.4042690722708535
142,2018,Cabo Verde,CPV,0.5882352941176471,0.39732001105790304,0.37432497575679446,2.5058502435038363
143,2019,Cabo Verde,CPV,0.5882352941176471,0.350298160406085,0.32287305338089406,2.2574507750724995
144,2020,Cabo Verde,CPV,0.5882352941176471,0.336599148383332,0.36413299459899473,2.353832574681295
145,2016,Cameroon,CMR,0.35294117647058826,0.1964254345615664,0.27048003295336753,1.5572321444538237
146,2017,Cameroon,CMR,0.35294117647058826,0.233471423033201,0.33904707761979386,1.837025255396372
147,2018,Cameroon,CMR,0.35294117647058826,0.23172344075831208,0.3597218730653302,1.8955536771832031
148,2019,Cameroon,CMR,0.35294117647058826,0.2294514996099594,0.30030878744794043,1.7127705380343283
149,2020,Cameroon,CMR,0.35294117647058826,0.24046018795942373,0.3065993213121502,1.7536595163258863
150,2016,Caribbean small states,CSS,0.38235294117647056,0.34362331323389234,0.31511513602651364,2.0149449757237963
151,2017,Caribbean small states,CSS,0.38235294117647056,0.32641389497433543,0.3013752873483351,1.9393065931701465
152,2018,Caribbean small states,CSS,0.38235294117647056,0.32192217742740803,0.30208148171809307,1.9324417411855659
153,2019,Caribbean small states,CSS,0.38235294117647056,0.32284094926329204,0.297596773083187,1.9208251589526157
154,2020,Caribbean small states,CSS,0.38235294117647056,0.3998753692113891,0.1997942731008641,1.781486498901841
155,2016,Central African Republic,CAF,0.5882352941176471,0.129810855010685,0.15594305603949887,1.3156861722575137
156,2017,Central African Republic,CAF,0.5882352941176471,0.12977829284403053,0.18952282234401518,1.4163603468377537
157,2018,Central African Republic,CAF,0.5882352941176471,0.11588243453989937,0.19464598010622589,1.4039381035161234
158,2019,Central African Republic,CAF,0.5882352941176471,0.130892808205715,0.20875751323998928,1.4762934502490448
159,2020,Central African Republic,CAF,0.5882352941176471,0.13125345927072496,0.20843004403562734,1.4760323447659789
160,2016,Central Europe and the Baltics,CEB,0.5882352941176471,0.34289325375425644,0.240422033760132,1.995287902906556
161,2017,Central Europe and the Baltics,CEB,0.5882352941176471,0.30275460932422366,0.23111384963904902,1.8870860616832417
162,2018,Central Europe and the Baltics,CEB,0.5882352941176471,0.31577203018042616,0.23700447524990487,1.9307927802282139
163,2019,Central Europe and the Baltics,CEB,0.5882352941176471,0.302211418393511,0.23529569599479133,1.8985452188890433
164,2020,Central Europe and the Baltics,CEB,0.5882352941176471,0.28865080660659587,0.23358691673967777,1.8662976575498722
165,2016,Chad,TCD,0.5882352941176471,0.17021074664774616,0.27698514083085884,1.759612209905716
166,2017,Chad,TCD,0.5882352941176471,0.18166814771151543,0.34863372028993156,1.9974727504104726
167,2018,Chad,TCD,0.5882352941176471,0.1672120807526208,0.2628323692539176,1.7111565633846415
168,2019,Chad,TCD,0.5882352941176471,0.17557312059925514,0.302846816018309,1.8479219833710845
169,2020,Chad,TCD,0.5882352941176471,0.17736057858309148,0.24867959767697645,1.6889952443147593
